# i 	s 	L 		u 	S 	I 	
1000 	1 	nan 	0 	0 	1 	
1000 	1 	nan 	0 	0 	1 	
1000 	1 	nan 	0 	0 	1 	
1000 	1 	nan 	0 	0 	1 	
1000 	2 	0.0 	0 	0 	1 	
1000 	2 	0.0 	0 	0 	1 	
1000 	2 	0.0 	0 	0 	1 	
1000 	3 	0.001563 	0 	0 	1 	
1000 	3 	0.01315 	0 	0 	1 	
1000 	3 	0.085671 	0 	0 	1 	
1000 	4 	0.078817 	0 	0 	1 	
1000 	4 	0.08122 	0 	0 	1 	
1000 	4 	0.015995 	0 	0 	1 	
1000 	4 	0.05888 	0 	0 	3 	
1000 	5 	0.084997 	0 	0 	1 	
1000 	5 	0.060521 	0 	0 	4 	
1000 	5 	0.084439 	1000 	0 	2 	
1000 	6 	0.090815 	0 	0 	6 	
1000 	6 	0.096162 	0 	0 	14 	
1000 	6 	0.083981 	0 	0 	8 	
1000 	7 	0.057515 	0 	0 	1 	
1000 	7 	0.062495 	0 	0 	2 	
1000 	7 	0.052934 	0 	0 	2 	
1000 	7 	0.088955 	0 	0 	2 	
1000 	8 	0.096978 	0 	0 	5 	
1000 	8 	0.058681 	0 	0 	2 	
1000 	8 	0.092774 	0 	0 	5 	
1000 	9 	0.088533 	0 	0 	3 	
1000 	9 	0.083737 	0 	0 	3 	
1000 	9 	0.099764 	1000 	0 	6 	
1000 	10 	0.053941 	0 	0 	4 	
1000 	10 	0.081646 	0 	0 	3 	
1000 	10 	0.087911 	1000 	0 	7 	
1000 	10 	0.090824 	0 	0 	3 	
1000 	11 	0.076037 	0 	0 	4 	
1000 	11 	0.071427 	0 	0 	2 	
1000 	11 	0.088124 	0 	0 	6 	
1000 	12 	0.08653 	0 	0 	6 	
1000 	12 	0.092267 	0 	0 	2 	
1000 	12 	0.095985 	0 	0 	5 	
1000 	13 	0.093568 	0 	0 	6 	
1000 	13 	0.093883 	999 	0 	8 	
1000 	13 	0.078383 	0 	0 	3 	
1000 	13 	0.085023 	1000 	0 	4 	
1000 	14 	0.074078 	1000 	0 	7 	
1000 	14 	0.094799 	1000 	0 	8 	
1000 	14 	0.085646 	999 	0 	5 	
1000 	15 	0.096758 	1000 	0 	3 	
1000 	15 	0.089941 	0 	0 	6 	
1000 	15 	0.09623 	0 	0 	5 	
1000 	16 	0.099735 	1000 	0 	10 	
1000 	16 	0.090353 	0 	0 	7 	
1000 	16 	0.097595 	1000 	0 	10 	
1000 	16 	0.097636 	2000 	0 	28 	
1000 	17 	0.097146 	0 	0 	5 	
1000 	17 	0.092447 	1000 	0 	4 	
1000 	17 	0.094593 	0 	0 	3 	
1000 	18 	0.07904 	1000 	0 	6 	
1000 	18 	0.095413 	0 	0 	3 	
1000 	18 	0.070724 	999 	0 	10 	
1000 	19 	0.095889 	1000 	0 	10 	
1000 	19 	0.098189 	1000 	0 	19 	
1000 	19 	0.093143 	999 	0 	5 	
1000 	19 	0.088809 	0 	0 	6 	
1000 	20 	0.079911 	0 	0 	3 	
1000 	20 	0.095845 	1000 	0 	11 	
1000 	20 	0.090014 	1000 	0 	12 	
1000 	21 	0.096599 	999 	0 	7 	
1000 	21 	0.098859 	0 	0 	7 	
1000 	21 	0.0956 	1000 	0 	7 	
1000 	22 	0.097779 	0 	0 	3 	
1000 	22 	0.08956 	1000 	0 	7 	
1000 	22 	0.095552 	999 	0 	13 	
1000 	22 	0.099977 	1000 	0 	8 	
