# i 	s 	L 		u 	S 	I 	
1000 	1 	nan 	0 	0 	1 	
1000 	1 	nan 	0 	0 	1 	
1000 	1 	nan 	0 	0 	1 	
1000 	1 	nan 	999 	0 	1 	
1000 	2 	0.0 	0 	0 	1 	
1000 	2 	0.0 	0 	0 	1 	
1000 	2 	0.0 	0 	0 	1 	
1000 	3 	0.018714 	0 	0 	1 	
1000 	3 	0.0621 	0 	0 	2 	
1000 	3 	0.064642 	0 	0 	2 	
1000 	4 	0.089556 	0 	0 	19 	
1000 	4 	0.091541 	0 	0 	5 	
1000 	4 	0.067462 	0 	0 	10 	
1000 	4 	0.029421 	0 	0 	6 	
1000 	5 	0.080394 	0 	0 	11 	
1000 	5 	0.082608 	0 	0 	57 	
1000 	5 	0.086864 	0 	0 	9 	
1000 	6 	0.096649 	0 	0 	14 	
1000 	6 	0.097083 	0 	0 	13 	
1000 	6 	0.219836 	6999 	0 	1000 	
1000 	7 	0.094003 	999 	0 	10 	
1000 	7 	0.087482 	0 	0 	9 	
1000 	7 	0.329615 	9999 	0 	1000 	
1000 	7 	0.089286 	0 	0 	18 	
1000 	8 	0.081949 	0 	0 	8 	
1000 	8 	0.077621 	0 	0 	32 	
1000 	8 	0.09411 	1000 	0 	16 	
1000 	9 	0.095562 	1000 	0 	73 	
1000 	9 	0.090995 	0 	0 	5 	
1000 	9 	0.08959 	999 	0 	17 	
1000 	10 	0.099762 	0 	0 	11 	
1000 	10 	0.094354 	0 	0 	17 	
1000 	10 	0.066294 	0 	0 	20 	
1000 	10 	0.096189 	1000 	0 	23 	
1000 	11 	0.337615 	23997 	0 	1000 	
1000 	11 	0.099998 	0 	0 	37 	
1000 	11 	0.077127 	0 	0 	29 	
1000 	12 	0.487488 	28996 	0 	1000 	
1000 	12 	0.087941 	0 	0 	10 	
1000 	12 	0.090031 	1999 	0 	73 	
1000 	13 	0.086949 	1000 	0 	26 	
1000 	13 	0.095187 	0 	0 	22 	
1000 	13 	0.098425 	1000 	0 	39 	
1000 	13 	0.075342 	1000 	0 	29 	
1000 	14 	0.092039 	1000 	0 	22 	
1000 	14 	0.711476 	38994 	0 	1000 	
1000 	14 	0.091531 	1000 	0 	25 	
1000 	15 	0.093835 	1000 	0 	17 	
1000 	15 	0.098998 	3000 	0 	60 	
1000 	15 	0.086781 	1000 	0 	26 	
1000 	16 	0.095179 	999 	0 	12 	
1000 	16 	0.075148 	1000 	0 	12 	
1000 	16 	0.097576 	0 	0 	15 	
1000 	16 	0.098986 	999 	0 	20 	
1000 	17 	0.087297 	1000 	0 	24 	
1000 	17 	0.092193 	1999 	0 	22 	
1000 	17 	0.092563 	4000 	0 	73 	
1000 	18 	0.091181 	2000 	0 	30 	
1000 	18 	0.097055 	3000 	1000 	60 	
1000 	18 	0.091603 	1999 	0 	21 	
1000 	19 	0.084654 	24996 	0 	348 	
1000 	19 	0.098427 	2000 	0 	28 	
1000 	19 	0.089876 	3000 	0 	50 	
1000 	19 	0.085965 	2000 	0 	23 	
1000 	20 	0.099526 	4000 	0 	44 	
1000 	20 	1.402825 	80988 	0 	1000 	
1000 	20 	0.093563 	3999 	0 	47 	
1000 	21 	0.348568 	88987 	0 	1000 	
1000 	21 	0.095645 	2000 	0 	21 	
1000 	21 	0.091354 	1999 	0 	30 	
1000 	22 	0.093651 	3000 	0 	37 	
1000 	22 	0.628008 	97985 	0 	1000 	
